
APC, Request Type, Time, Server
 -0.442478, 1, 274, Singapur
 -0.442478, 1, 222, Frankfurt
 -0.442478, 1, 46 , Local
 6.106195 , 1, 41 ,  Maestro
 1.858407 , 2, 272, Singapur
 1.858407 , 2, 204, Frankfurt
 1.858407 , 2, 44 , Local
 7.522124 , 2, 39 , Maestro
 2.035398 , 3, 271, Singapur
 2.035398 , 3, 203, Frankfurt
 2.035398 , 3, 43 , Local
 7.522124 , 3, 41 , Maestro
 6.637168 , 4, 267, Singapur
 6.637168 , 4, 197, Frankfurt
 6.637168 , 4, 39 , Local
 7.787611 , 4, 41 , Maestro
 1.150442 , 5, 274, Singapur
 1.150442 , 5, 204, Frankfurt
 1.150442 , 5, 44 , Local
 7.079646 , 5, 39 , Maestro
 5.929204 , 6, 266, Singapur
 5.929204 , 6, 198, Frankfurt
 5.929204 , 6, 40 , Local
 8.495575 , 6, 38 , Maestro
